Status,Condition,District,Area,Rooms,Bathrooms,Balcony+,Heating,Conditioner,Parking,Lift,PerSq
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,73,3,1,10,1,1,0,2,1092
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,58,3,1,0,1,0,0,1,914
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,3,1,4,1,0,1,2,902
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,70,3,1,0,1,0,1,1,884
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,43,3,1,0,1,0,0,0,853
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,21,1,1,0,1,1,1,0,833
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,47,2,1,3,1,0,0,1,830
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,73,3,1,4,1,1,1,1,822
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,3,1,5,1,0,0,1,820
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,80,3,1,10,1,1,0,1,813
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,71,3,1,0,0,0,0,1,803
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,2,1,15,1,1,1,1,803
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,21,1,1,0,1,1,1,0,800
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,90,4,1,6,1,1,1,0,800
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,44,2,1,4,1,0,1,1,795
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,43,2,1,6,1,0,1,1,786
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,56,3,1,2,1,1,1,0,786
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,42,2,1,0,1,0,0,1,786
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,60,2,1,7,1,0,1,2,783
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,68,3,1,6,1,1,0,1,779
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,3,1,0,1,1,0,1,771
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,37,1,1,0,1,0,1,1,770
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,37,2,1,0,1,0,1,1,770
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,52,2,1,5,0,0,0,2,769
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,49,2,1,6,1,0,1,2,765
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,46,2,1,3,0,0,0,1,761
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,46,3,2,3,1,0,1,1,761
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,62,3,1,3,1,1,1,2,758
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,37,2,1,4,0,0,0,2,757
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,49,2,1,3,1,1,0,0,755
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,120,3,1,10,1,0,1,1,750
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,36,2,1,0,0,0,0,1,744
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,88,3,2,18,1,0,1,1,739
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,93,4,1,0,1,0,0,1,731
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,81,3,1,6,1,0,1,0,728
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,58,3,1,4,1,0,1,2,724
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,65,2,1,8,1,1,1,1,723
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,68,3,1,0,1,0,1,2,721
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,52,2,1,7,1,0,0,2,721
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,45,2,1,0,1,0,1,2,718
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,53,3,1,4,1,0,0,1,717
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,73,3,1,6,1,0,0,1,712
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,1,0,0,0,0,1,708
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,37,2,1,0,1,1,1,0,703
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,52,2,1,8,0,0,0,1,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,1,8,0,0,0,1,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,1,8,1,0,0,1,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,2,6,1,0,1,2,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,2,6,0,0,1,2,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,1,4,1,0,1,1,698
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,36,2,1,0,1,0,0,0,694
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,66,3,1,3,1,0,0,1,694
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,75,3,1,5,1,0,1,2,692
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,65,2,1,0,0,0,0,1,692
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,3,1,4,0,0,1,0,689
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,57,3,1,0,0,0,0,1,689
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,49,2,1,2,1,0,0,2,682
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,57,3,1,3,1,0,1,1,682
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,57,3,1,0,1,0,0,2,681
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,64,3,1,3,1,0,1,1,680
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,50,2,1,5,0,0,0,0,680
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,63,3,1,3,1,0,1,1,675
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,54,3,1,7,1,0,0,0,672
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,50,2,1,3,1,0,0,1,672
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,51,2,1,5,1,1,1,2,671
