Status,Condition,District,Area,Rooms,Bathrooms,Balcony,lastoffirst,Heating,Parking,Storeroom,Fireplace,Furniture,Lift,Conditioner,PerSq
old,newRenov,saburtalo,90,3,1,10,1,1,1,1,0,1,1,1,780
new,newRenov,saburtalo,140,4,2,10,1,1,1,0,0,1,1,1,1214
new,newRenov,saburtalo,70,2,1,10,1,1,0,0,0,0,1,1,1141
new,newRenov,saburtalo,110,4,2,10,1,1,1,1,0,0,1,0,1136
new,newRenov,saburtalo,110,3,2,10,1,1,1,0,0,1,1,1,1136
new,newRenov,saburtalo,130,4,2,10,1,1,0,0,0,1,1,0,885
new,newRenov,saburtalo,107,3,1,10,1,1,0,0,0,0,1,1,804
new,newRenov,saburtalo,62,2,1,10,1,1,1,0,0,1,0,0,694
old,oldRenov,saburtalo,119,5,2,10,1,1,1,1,0,1,1,1,672
new,newRenov,gldani,155,5,3,9,1,1,1,1,0,0,1,1,734
new,newRenov,gldani,117,4,1,9,1,1,0,1,0,1,1,0,641
new,newRenov,didube,138,5,1,9,1,1,0,0,0,1,1,0,900
new,black,didube,98,4,3,9,1,0,1,0,0,0,1,0,561
old,oldRenov,didube,108,4,1,9,1,0,1,1,0,0,0,0,725
old,newRenov,nucubidze,94,3,2,9,1,1,1,0,0,1,1,1,851
new,newRenov,saburtalo,124,4,2,9,1,1,0,1,0,0,1,0,1218
new,newRenov,saburtalo,108,3,1,9,1,1,0,0,0,0,1,0,1000
new,white,saburtalo,79,3,1,9,1,1,0,0,0,0,1,0,796
new,white,saburtalo,150,5,2,9,1,0,0,1,0,0,1,0,770
old,oldRenov,chugureti,250,9,1,9,1,1,1,1,0,0,0,0,1200
new,white,saburtalo,180,6,3,42,1,1,1,1,0,0,1,0,714
new,newRenov,saburtalo,105,2,1,20,1,1,1,0,1,1,0,1,1048
old,oldRenov,saburtalo,80,3,2,18,1,1,1,1,0,1,1,0,638
new,newRenov,gldani,56,2,2,10,1,1,1,1,0,0,1,1,616
old,newRenov,saburtalo,120,3,1,28,1,1,1,1,1,1,0,0,1000
old,newRenov,gldani,100,3,2,20,1,1,0,0,0,1,0,1,700
old,newRenov,chugureti,200,5,3,18,1,1,1,1,1,1,0,1,750
old,newRenov,didiDigomi,62,2,1,16,1,1,0,1,0,1,1,0,742
old,newRenov,chugureti,290,4,2,14,1,1,0,1,1,1,0,1,1345
old,oldRenov,temka,80,3,1,13,1,0,1,1,0,0,1,1,463
new,newRenov,gldani,55,2,1,8,1,0,0,0,0,0,1,0,627
new,newRenov,didiDigomi,65,2,1,8,1,1,1,1,0,1,1,1,723
new,newRenov,didiDigomi,52,2,1,8,1,0,0,0,0,0,1,0,700
new,newRenov,didiDigomi,78,3,1,8,1,0,0,0,0,0,1,0,700
new,newRenov,didiDigomi,78,3,1,8,1,1,0,0,0,0,1,0,700
new,newRenov,didiDigomi,61,2,1,8,1,1,0,0,0,0,1,0,626
new,white,didiDigomi,80,3,1,8,1,0,0,0,0,0,1,0,600
new,white,didiDigomi,88,3,1,8,1,1,1,0,0,0,1,0,472
new,black,didiDigomi,51,2,1,8,1,0,0,0,0,0,1,0,490
new,black,didiDigomi,68,3,1,8,1,0,0,0,0,0,1,0,432
new,newRenov,didube,71,3,1,8,1,1,1,1,0,1,1,1,958
old,oldRenov,didube,40,1,1,8,1,1,1,0,0,1,0,1,908
new,newRenov,vadzisubani,90,4,1,8,1,1,1,1,0,1,1,0,778
new,newRenov,vake,98,3,1,8,1,1,0,0,0,0,1,0,1112
new,newRenov,vake,127,4,2,8,1,1,1,1,0,0,1,0,1068
new,newRenov,vaja,40,2,1,8,1,1,1,1,0,0,1,0,1250
new,newRenov,varketili,45,2,1,8,0,1,1,1,0,0,1,0,589
new,black,vashlijvari,53,2,1,8,1,0,0,0,0,0,1,0,521
new,newRenov,isani,41,2,1,8,1,1,1,0,0,1,1,0,1122
old,oldRenov,nucubidze,100,3,1,8,1,1,1,1,0,1,1,1,530
old,newRenov,saburtalo,110,3,2,8,1,1,0,1,0,1,1,1,1100
old,newRenov,saburtalo,120,4,1,8,1,1,1,1,0,1,1,1,833
new,newRenov,saburtalo,98,3,1,8,1,1,1,0,0,1,1,1,1276
new,newRenov,saburtalo,98,3,1,8,1,1,0,0,0,0,1,0,1112
new,newRenov,saburtalo,60,3,1,8,1,1,1,1,0,0,1,0,1083
new,newRenov,saburtalo,111,3,2,8,1,1,1,0,0,1,1,0,950
new,white,saburtalo,128,3,2,8,1,0,0,0,0,0,1,1,1200
new,white,saburtalo,132,4,2,8,1,0,0,0,0,0,1,0,1000
old,oldRenov,saburtalo,160,4,2,8,1,1,1,1,0,0,1,0,938
old,newRenov,samgori,40,1,1,8,1,0,1,0,0,0,1,0,588
old,white,saburtalo,174,5,2,17,1,1,1,1,0,0,1,0,476
old,oldRenov,varketili,73,2,3,28,1,0,0,1,0,1,1,0,523
new,newRenov,digmisMas,120,4,3,14,1,1,1,1,0,0,1,0,958
old,newRenov,vake,130,4,2,47,1,1,0,0,0,0,1,0,1115
old,oldRenov,saburtalo,80,3,1,22,1,0,1,1,0,1,1,0,850
old,oldRenov,samgori,82,3,2,19,1,0,1,1,0,0,0,0,421
old,oldRenov,saburtalo,157,5,3,18,1,1,1,1,0,1,0,1,754
old,oldRenov,temka,60,2,1,17,1,1,0,0,0,0,1,1,517
old,oldRenov,saburtalo,100,4,2,15,0,1,1,1,0,1,1,0,900
old,oldRenov,varketili,72,3,1,13,1,1,1,1,0,0,1,1,556
old,newRenov,gldani,42,3,1,7,0,0,1,0,0,1,0,1,810
new,newRenov,didiDigomi,60,2,1,7,1,1,1,1,0,1,1,0,783
new,newRenov,didiDigomi,52,2,1,7,1,1,0,0,0,0,1,0,721
new,newRenov,didiDigomi,54,3,1,7,1,1,0,0,0,0,0,0,672
new,newRenov,didiDigomi,60,2,1,7,1,0,0,0,0,0,1,0,637
new,white,didiDigomi,60,3,1,7,1,0,0,0,0,0,1,0,667
new,white,didiDigomi,54,2,1,7,1,1,0,0,0,0,1,0,602
new,white,didiDigomi,53,2,1,7,1,0,0,0,0,0,0,0,600
old,oldRenov,didiDigomi,100,3,1,7,1,1,1,1,0,0,0,0,410
new,newRenov,didube,131,4,2,7,1,1,1,0,0,1,1,1,858
new,white,digmisMas,40,2,1,7,1,0,0,0,0,0,0,0,800
new,newRenov,vake,75,3,1,7,1,1,0,1,0,1,1,1,1107
new,newRenov,vake,67,3,1,7,1,1,0,1,0,0,1,1,1075
new,newRenov,vake,68,2,1,7,1,1,0,0,0,0,1,1,950
old,oldRenov,vake,102,4,1,7,1,1,0,0,0,0,1,0,1049
new,newRenov,varketili,84,3,1,7,0,1,1,0,0,0,0,0,805
new,newRenov,varketili,70,3,1,7,1,0,1,0,0,0,1,0,786
old,oldRenov,varketili,52,2,1,7,1,0,1,1,0,0,0,0,481
new,newRenov,vashlijvari,42,1,1,7,1,1,1,1,0,1,1,1,881
old,oldRenov,nucubidze,87,3,1,7,1,0,0,1,0,0,1,1,690
new,newRenov,saburtalo,50,2,1,7,1,1,0,0,0,1,0,1,1284
new,newRenov,saburtalo,67,3,1,7,1,1,0,0,0,1,1,1,1075
new,newRenov,saburtalo,80,3,1,7,1,1,1,0,0,0,1,0,1000
new,newRenov,chugureti,145,5,2,7,1,1,1,1,0,1,1,1,1103
new,white,saburtalo,250,5,2,91,1,0,1,1,0,0,1,0,756
new,white,vera,245,5,2,56,1,1,1,1,0,0,1,0,1057
new,newRenov,saburtalo,240,5,3,26,1,1,1,1,1,1,1,1,1125
old,oldRenov,saburtalo,105,3,1,31,0,1,1,1,0,0,0,0,1091
new,newRenov,didiDigomi,88,3,2,18,1,1,1,1,0,1,1,0,739
old,oldRenov,varketili,50,1,1,15,1,1,0,1,0,1,1,0,540
old,newRenov,saburtalo,55,2,1,10,1,1,1,1,0,1,1,1,964
old,newRenov,gldani,86,1,1,6,0,1,1,1,0,0,0,0,442
new,newRenov,gldani,56,2,1,6,1,1,1,1,0,1,1,1,802
old,oldRenov,gldani,120,4,2,6,1,1,1,1,0,1,1,0,458
new,newRenov,didiDigomi,90,4,1,6,1,1,1,0,0,0,0,1,800
new,newRenov,didiDigomi,43,2,1,6,1,1,1,0,0,1,1,0,786
new,newRenov,didiDigomi,68,3,1,6,1,1,0,1,0,1,1,1,779
new,newRenov,didiDigomi,49,2,1,6,1,1,1,0,0,1,1,0,765
new,newRenov,didiDigomi,81,3,1,6,1,1,1,1,0,1,0,0,728
new,newRenov,didiDigomi,73,3,1,6,1,1,0,1,0,1,1,0,712
new,newRenov,didiDigomi,48,2,2,6,1,1,1,0,0,0,1,0,700
new,newRenov,didiDigomi,48,2,2,6,1,0,1,0,0,0,1,0,700
new,newRenov,didiDigomi,59,3,1,6,1,0,0,0,0,0,1,0,653
new,newRenov,didiDigomi,56,3,1,6,1,1,1,0,0,0,1,0,616
new,newRenov,didiDigomi,78,3,1,6,1,0,0,0,0,0,1,0,590
new,newRenov,didiDigomi,72,3,3,6,1,1,1,1,0,1,0,1,542
old,newRenov,didube,68,2,1,6,1,1,1,0,0,0,0,0,779
old,oldRenov,didube,58,2,1,6,1,1,0,1,0,1,1,0,855
old,newRenov,digmisMas,111,5,1,6,1,1,1,0,0,1,1,0,721
old,newRenov,vadzisubani,84,3,2,6,1,1,1,1,0,0,1,0,532
new,newRenov,vake,91,2,1,6,1,1,0,1,0,0,1,1,1319
new,newRenov,vake,100,3,1,6,1,1,1,1,0,1,1,1,1290
new,newRenov,varketili,78,4,1,6,1,1,0,0,0,1,1,0,731
new,newRenov,varketili,49,2,1,6,1,1,1,0,0,1,1,0,714
new,black,vashlijvari,71,3,1,6,1,1,1,0,0,0,1,0,545
new,newRenov,isani,72,3,2,6,1,1,0,0,0,1,1,0,833
new,newRenov,isani,54,2,1,6,1,1,1,0,0,1,1,0,796
old,newRenov,nadzaladevi,82,3,1,6,1,1,0,0,1,1,1,0,666
old,oldRenov,nadzaladevi,36,1,1,6,1,1,0,0,0,0,1,0,792
new,newRenov,ortatsala,52,2,1,6,0,0,0,1,0,0,1,0,904
new,newRenov,saburtalo,53,3,1,6,1,1,0,1,0,0,1,1,1189
new,newRenov,saburtalo,53,3,1,6,1,1,0,0,0,1,1,1,1170
