ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8836771,old,newRenov,chugureti,120,3,2,1,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,437,542
8944145,old,newRenov,chugureti,57,3,2,1,1,2,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,67,1579
8939420,old,newRenov,chugureti,60,2,1,2,1,2,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,88,583
8345948,old,newRenov,chugureti,115,3,2,1,2,3,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1104,897
8885358,old,newRenov,chugureti,60,2,1,1,2,8,2,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,176,1150
8935865,old,newRenov,chugureti,40,1,1,2,6,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,77,1225
8935813,old,newRenov,chugureti,55,3,2,1,1,3,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,136,1116
8813882,old,newRenov,chugureti,23,2,1,1,2,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,324,1391
8255985,old,newRenov,chugureti,130,5,3,1,2,2,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1206,654
8695035,old,newRenov,chugureti,110,4,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,565,751
8925449,old,newRenov,chugureti,105,3,2,2,3,4,2,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,50,1048
8924478,old,newRenov,chugureti,90,3,2,1,1,5,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,78,1167
8924292,old,newRenov,chugureti,50,3,0,1,3,3,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,101,820
8923972,old,newRenov,chugureti,33,1,0,1,2,3,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,176,1000
8953881,new,white,chugureti,66,2,1,1,2,10,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,47,750
8919532,new,white,chugureti,73,3,2,1,3,5,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,531,1151
8939989,new,oldRenov,chugureti,171,4,3,1,5,7,0,65,0,1,1,1,1,1,1,0,1,1,0,1,1,1,57,1158
8937893,new,oldRenov,chugureti,135,3,2,1,5,9,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,52,778
8905295,new,oldRenov,chugureti,161,4,3,2,10,10,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,99,1106
8555876,new,oldRenov,chugureti,110,4,3,1,9,11,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,622,1818
8906720,old,oldRenov,chugureti,42,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,881
8959355,old,oldRenov,chugureti,133,5,2,1,4,4,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,14,1038
8692265,old,oldRenov,chugureti,72,3,2,0,3,7,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,579,1125
8958833,old,oldRenov,chugureti,43,1,0,1,2,2,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,21,1023
8958236,old,oldRenov,chugureti,95,4,3,1,3,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,16,705
8865186,old,oldRenov,chugureti,140,4,3,2,3,3,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,749,786
8340459,old,oldRenov,chugureti,61,2,1,1,3,3,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,2849,1016
8953452,old,oldRenov,chugureti,50,3,2,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,151,600
8541129,old,oldRenov,chugureti,91,4,3,2,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,792,604
8943562,old,oldRenov,chugureti,120,4,3,2,2,4,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,97,808
8300055,old,oldRenov,chugureti,100,4,2,1,1,2,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1858,880
8951501,old,oldRenov,chugureti,200,7,5,2,2,3,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,24,775
8886965,old,oldRenov,chugureti,102,3,2,1,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,231,471
8951338,old,oldRenov,chugureti,120,4,0,2,2,4,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,30,1000
8580454,old,oldRenov,chugureti,67,3,2,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1000,590
8950799,old,oldRenov,chugureti,42,2,1,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,90,857
8948959,old,oldRenov,chugureti,250,9,5,2,3,3,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,41,1100
8944471,old,oldRenov,chugureti,50,2,1,1,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,117,640
8822824,old,oldRenov,chugureti,60,2,1,2,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,477,583
8939533,old,oldRenov,chugureti,55,2,1,1,3,4,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,72,1055
8740905,old,oldRenov,chugureti,70,2,1,1,2,3,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,523,860
8925783,old,oldRenov,chugureti,29,2,1,0,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,432,1207
8850673,old,oldRenov,chugureti,106,3,2,3,3,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,208,617
