Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
new,white,varketili,3,2,1,3,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,470
old,oldRenov,chugureti,3,2,1,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,471
new,white,vazisubani,3,2,1,7,18,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,474
new,newRenov,gldani,5,3,3,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,475
old,newRenov,sandzona,3,2,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,475
old,oldRenov,sandzona,4,2,1,2,2,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,475
new,newRenov,varketili,3,2,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,476
old,oldRenov,isani,2,1,1,2,3,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,477
old,newRenov,muxiani,4,3,3,9,9,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,478
new,white,didDigomi,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,479
old,oldRenov,temqa,4,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480
old,newRenov,varketili,4,3,2,7,9,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,481
old,oldRenov,gldani,4,3,3,7,9,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,481
old,oldRenov,varketili,2,1,1,5,5,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,481
old,newRenov,vazisubani,3,2,1,8,9,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,481
new,newRenov,didDigomi,3,2,1,10,10,0,50,0,1,0,0,1,1,1,0,1,1,0,0,1,1,482
old,oldRenov,varketili,4,3,2,1,5,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,483
old,newRenov,vaja,3,2,2,8,8,6,0,15,1,0,1,1,1,0,0,0,1,0,1,0,0,483
old,oldRenov,gldani,5,4,1,2,9,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,486
new,newRenov,didDigomi,3,2,1,9,9,0,50,0,1,1,1,1,1,1,0,1,1,0,1,1,1,487
new,newRenov,nadzaladevi,5,3,2,10,10,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,487
old,oldRenov,varketili,2,2,1,2,4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,491
old,oldRenov,vazisubani,4,3,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495
new,black,didDigomi,3,2,1,2,5,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,495
new,black,didDigomi,2,1,1,5,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,496
new,black,didDigomi,2,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,497
new,black,didDigomi,3,2,1,13,16,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,498
new,black,didDigomi,4,2,2,5,16,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,498
new,white,didDigomi,2,1,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498
new,black,didDigomi,2,1,1,12,16,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,499
old,newRenov,varketili,4,3,2,8,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,500
new,white,nadzaladevi,2,1,1,7,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,500
WIP,black,saburtalo,3,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WIP,black,saburtalo,2,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
old,newRenov,saburtalo,4,3,1,9,9,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,500
old,oldRenov,vazisubani,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,500
old,oldRenov,digmisMas,5,3,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
new,black,didDigomi,2,1,1,10,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,500
new,black,didDigomi,4,3,2,6,12,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,500
new,black,didDigomi,3,2,2,4,12,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,500
old,oldRenov,muxiani,4,3,2,9,9,15,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,500
old,oldRenov,saburtalo,4,2,1,7,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,500
old,oldRenov,didDigomi,4,3,2,9,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,500
old,oldRenov,temqa,4,3,2,6,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,500
old,oldRenov,gldani,5,3,1,7,9,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,500
old,oldRenov,varketili,2,1,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
new,white,didDigomi,3,2,1,8,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,500
old,oldRenov,samgori,4,3,1,8,9,10,0,15,0,1,1,1,1,0,0,0,1,0,1,0,0,500
old,oldRenov,varketili,4,3,3,2,9,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,500
old,newRenov,vazisubani,3,2,2,8,8,6,0,11,1,0,1,1,1,1,0,0,1,0,0,1,0,500
new,white,varketili,2,1,1,6,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,500
old,newRenov,temqa,3,2,1,10,17,0,0,20,1,0,0,1,1,1,0,0,1,1,0,0,0,500
old,newRenov,isani,4,2,2,9,16,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,500
new,white,nadzaladevi,3,0,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
old,oldRenov,gldani,4,3,2,7,9,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,504
old,oldRenov,gldani,3,2,1,2,9,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,504
old,oldRenov,didDigomi,2,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505
old,oldRenov,varketili,3,2,1,9,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,508
old,oldRenov,didube,3,2,1,2,8,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,508
new,newRenov,didDigomi,4,3,2,13,15,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,509
new,black,didDigomi,2,1,1,7,10,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,509
old,newRenov,didube,4,3,1,5,6,10,0,11,1,0,1,1,1,0,0,1,0,0,0,1,0,509
old,oldRenov,samgori,2,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509
old,oldRenov,nadzaladevi,4,2,1,5,15,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,510
old,oldRenov,saburtalo,5,3,2,4,4,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,510
new,black,didDigomi,2,1,2,1,10,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,510
old,oldRenov,sandzona,1,0,1,3,9,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,512
old,oldRenov,sandzona,7,2,2,2,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,513
new,white,didDigomi,3,2,1,8,12,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,513
old,oldRenov,vazisubani,3,2,2,4,9,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,514
old,newRenov,gldani,5,3,2,1,9,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,514
