ID,Area,Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8827533,196,new,newRenov,saburtalo,5,3,3,13,13,0,36,0,1,0,1,1,1,1,0,0,1,0,1,0,0,457,1276
8812547,195,old,oldRenov,digmisMas,5,3,2,12,16,30,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,253,769
8884757,192,new,newRenov,ortawala,5,3,2,7,8,9,60,0,1,1,0,1,1,1,0,0,1,0,0,0,1,178,1235
8933416,191,old,oldRenov,saburtalo,5,3,2,2,5,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,36,785
8785096,183,new,newRenov,saburtalo,5,3,3,6,12,4,8,0,1,0,1,1,1,1,0,1,1,1,1,1,1,430,1120
8683307,180,old,oldRenov,vake,5,2,2,3,4,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,350,761
8913788,180,new,newRenov,chugureti,5,3,2,1,2,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,151,1056
8692409,177,old,oldRenov,sololaki,5,4,2,3,4,7,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1540,1469
8647024,175,old,newRenov,saburtalo,5,4,1,8,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,201,771
8937156,170,old,oldRenov,gldani,5,4,1,2,9,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,116,486
8499448,170,new,white,vake,5,3,3,4,12,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,7052,895
8758173,170,old,oldRenov,saburtalo,5,4,2,2,10,30,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,353,950
8727802,165,old,newRenov,saburtalo,5,3,1,5,10,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,355,636
8607690,164,new,newRenov,saburtalo,5,3,3,16,22,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1546,1213
8935282,163,old,oldRenov,vake,5,2,2,3,6,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,35,951
7987518,160,old,oldRenov,vera,5,3,2,3,3,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,2610,946
8915579,160,new,newRenov,vake,5,3,1,4,7,30,30,0,1,1,0,1,1,1,0,0,1,0,1,1,1,123,1438
8822171,159,new,newRenov,didDigomi,5,4,2,9,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,335,806
8870851,158,new,newRenov,vera,5,3,2,4,7,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,224,1541
8724847,157,new,newRenov,saburtalo,5,3,2,9,11,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,747,1100
8932936,156,old,newRenov,vake,5,4,2,7,9,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,77,934
8889811,155,new,newRenov,gldani,5,3,2,4,9,15,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,298,677
8642102,155,new,newRenov,vake,5,3,2,7,8,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,348,1121
8940279,152,new,white,saburtalo,5,3,1,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1000
8918568,150,old,newRenov,temqa,5,4,1,2,5,12,0,30,1,1,1,1,1,1,0,1,0,0,1,1,1,103,553
8918482,150,old,newRenov,temqa,5,4,1,2,5,12,0,30,1,1,1,1,1,1,0,1,0,0,1,1,0,82,553
8933345,150,old,oldRenov,saburtalo,5,4,2,9,9,9,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,61,876
8954648,150,new,newRenov,saburtalo,5,3,2,9,15,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,18,923
8702305,150,old,newRenov,vera,5,4,2,5,5,25,25,0,1,0,0,1,1,1,0,1,0,0,0,1,1,561,1300
8927242,150,old,oldRenov,sololaki,5,3,2,1,3,7,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,65,1500
8727725,149,new,newRenov,saburtalo,5,3,1,4,11,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,449,900
8793433,148,new,newRenov,saburtalo,5,4,3,12,13,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,249,1081
8760714,147,old,oldRenov,saburtalo,5,4,1,1,8,0,0,25,1,1,1,1,1,1,0,0,0,0,1,0,0,318,578
8940967,145,old,newRenov,saburtalo,5,3,2,8,8,11,32,16,1,1,1,1,1,1,0,0,1,0,1,1,1,203,655
8953099,145,new,newRenov,saburtalo,5,3,2,11,16,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,30,1234
