	Area	Rooms	Bedrooms	Bathrooms	Floor	Floors	Balcony	Veranda	Loggia	Heating	Parking	Storeroom	Hot	Gas	Internet	Fireplace	Furniture	Passenger	Service	Telephone	Television	Conditioner	St_new	St_old	Co_black	Co_newRenov	Co_oldRenov	Co_white	Di_didiDigomi	Di_digmisMas	Di_gldani	Di_saburtalo	Di_vake	Di_varketili
43	80	3	2	1	6	10	10	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0
44	71	3	2	1	9	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
45	61	2	1	1	10	11	0	15	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0
46	21	1	1	1	1	3	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0
47	90	4	3	1	6	14	6	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0
48	44	2	1	1	12	13	4	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
49	43	2	1	1	6	11	6	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
50	56	3	2	1	4	4	2	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0
51	42	2	1	1	13	14	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
52	60	2	1	1	8	10	7	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
53	68	3	2	1	8	12	6	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0
54	48	3	0	1	9	10	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0
55	37	1	1	1	4	9	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
56	37	2	1	1	4	7	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
57	52	2	1	1	4	12	5	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
58	49	2	1	1	9	9	6	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0
59	46	2	1	1	9	10	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
60	46	3	2	2	8	10	3	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
61	62	3	2	1	10	12	3	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0
62	37	2	1	1	12	14	4	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
63	49	2	1	1	1	4	3	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0
64	120	3	2	1	2	4	5	5	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0
65	36	2	1	1	1	12	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
66	88	3	2	2	2	8	6	0	12	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
67	93	4	3	1	6	8	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
68	81	3	2	1	4	4	6	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
69	58	3	2	1	8	10	4	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
70	65	2	1	1	4	8	8	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0
71	68	3	2	1	6	16	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
72	52	2	1	1	12	14	7	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
73	45	2	1	1	5	12	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
74	53	3	2	1	3	9	4	0	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0
75	73	3	2	1	7	9	6	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
76	48	2	1	1	3	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
77	37	2	1	1	1	2	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0
78	52	2	1	1	7	10	8	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
79	78	3	2	1	7	10	8	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
80	78	3	2	1	7	9	8	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
81	48	2	1	2	4	11	6	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
82	48	2	1	2	5	11	6	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
83	48	2	1	1	5	7	4	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
84	36	2	1	1	1	2	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
85	66	3	2	1	5	11	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
86	75	3	2	1	6	10	5	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
