Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
ძველი აშენებული,ძველი გარემონტებული,გლდანი,67,3,2,1,1,10,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,667
ძველი აშენებული,ძველი გარემონტებული,გლდანი,38,2,1,2,3,5,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,566
ძველი აშენებული,ძველი გარემონტებული,გლდანი,62,2,1,1,6,8,4,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,565
ძველი აშენებული,ძველი გარემონტებული,გლდანი,67,2,2,2,2,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,552
ძველი აშენებული,ძველი გარემონტებული,გლდანი,60,2,1,1,2,9,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,550
ძველი აშენებული,ძველი გარემონტებული,გლდანი,90,3,2,2,3,9,3,0,15,1,1,1,1,1,1,0,1,1,0,1,0,0,506
ძველი აშენებული,ძველი გარემონტებული,გლდანი,104,4,3,2,7,9,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,500
ძველი აშენებული,ძველი გარემონტებული,გლდანი,75,3,2,2,7,9,2,0,4,1,0,1,1,1,1,0,0,0,0,1,1,0,500
ძველი აშენებული,ძველი გარემონტებული,გლდანი,78,3,2,2,2,9,3,0,12,1,1,0,1,1,1,0,0,0,0,0,0,0,487
ძველი აშენებული,ძველი გარემონტებული,გლდანი,80,3,2,1,9,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,475
ძველი აშენებული,ძველი გარემონტებული,გლდანი,76,3,2,2,8,9,0,0,10,1,1,1,1,1,1,0,0,1,0,1,1,0,470
ძველი აშენებული,ძველი გარემონტებული,გლდანი,85,3,2,2,13,16,0,0,14,1,1,1,1,1,1,0,1,1,1,1,1,0,465
ძველი აშენებული,ძველი გარემონტებული,გლდანი,50,1,1,1,3,16,0,0,7,1,0,0,1,1,1,0,0,1,0,0,1,0,460
ძველი აშენებული,ძველი გარემონტებული,გლდანი,120,4,2,2,6,9,6,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,458
ძველი აშენებული,ძველი გარემონტებული,გლდანი,120,4,2,1,9,9,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,452
ძველი აშენებული,ძველი გარემონტებული,გლდანი,85,3,2,1,1,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,441
ძველი აშენებული,ძველი გარემონტებული,გლდანი,75,3,2,1,7,9,3,0,15,1,0,1,1,1,1,0,0,1,0,0,1,0,427
ძველი აშენებული,ახალი გარემონტებული,დიდი დიღომი,85,4,3,1,1,15,0,0,8,1,0,1,1,1,1,0,0,1,0,0,0,0,800
ძველი აშენებული,ახალი გარემონტებული,დიდი დიღომი,62,2,1,1,7,15,8,0,8,1,0,1,1,1,1,0,1,1,1,1,1,0,742
ძველი აშენებული,ახალი გარემონტებული,დიდი დიღომი,94,3,2,2,7,15,10,0,15,1,0,1,1,1,1,0,0,1,1,0,0,0,670
ძველი აშენებული,ახალი გარემონტებული,დიდი დიღომი,66,3,2,1,2,16,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,583
ძველი აშენებული,ახალი გარემონტებული,დიდი დიღომი,80,3,2,0,14,16,3,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,550
ძველი აშენებული,ახალი გარემონტებული,დიდი დიღომი,80,3,2,1,14,16,3,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,550
ძველი აშენებული,ახალი გარემონტებული,დიდი დიღომი,85,3,2,1,6,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,498
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,46,2,1,1,7,9,4,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1200
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,46,2,1,1,5,9,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1150
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,73,3,2,1,2,9,10,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1092
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,58,3,2,1,7,13,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,914
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,3,2,1,8,12,4,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,902
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,70,3,2,1,6,10,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,884
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,43,3,1,1,1,9,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,853
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,21,1,1,1,2,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,833
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,47,2,1,1,7,10,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,830
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,73,3,2,1,4,5,4,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,822
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,3,2,1,12,13,5,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,820
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,80,3,2,1,6,10,10,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,813
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,71,3,2,1,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,803
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,2,1,1,10,11,0,15,0,1,1,1,1,1,1,0,0,1,0,0,1,1,803
